Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
Dijual Murah Rumah Cluster Nyaman dan Adem di Cipayung Jak-tim,Jakarta,Cipayung,36,115,950000000,151,Kecil
Rumah Semi RE 42/120 Murah,Jakarta,,42,120,460000000,162,Kecil
Dijual Rumah di Lebak Bulus Cilandak,Jakarta,Lebak Bulus,400,440,9750000000,840,Besar
RUMAH BAGUS MURAH LT 120 KOTA WISATA CIBUBUR BOGOR,Jakarta,Kota Wisata,150,120,1250000000,270,Sedang
New town house dekat transmart cilandak,Jakarta,Cilandak,200,96,3550000000,296,Besar
Rumah Baru Brand New Menteng 3 lantai ada Pool Lift Mewah Dijual Fully Furnished,Jakarta,Menteng,1200,474,73000000000,1674,Besar
"DI JUAL Rumah tua di daerah duren tiga selatan, harga dibawah NJOP Nego",Jakarta,Duren Tiga,200,326,4600000000,526,Besar
Rumah design Modern FREE BPHTB di Cibubur Cikeas Bogor,Jakarta,Cibubur,85,81,828000000,166,Kecil
RUMAH EXCLUSIVE PERMATA HIJAU JAKARTA SELATAN,Jakarta,Permata Hijau,300,500,13500000000,800,Besar
Jual cepat Rumah di kebon jeruk Villa Kelapa Dua,Jakarta,Kebon Jeruk,130,108,2500000000,238,Sedang
"Dijual Rumah Siap Huni di Sunter Agung, Seberang Sunter Mall",Jakarta,Sunter Agung,250,150,4200000000,400,Besar
"Rumah baru 2 lantai di pinggir Jalan utama, bebas banjir KPR BSI",Jakarta,Kalisari,100,75,1280000000,175,Sedang
Rumah Modern Jakarta SHM Tingkat 2Lt Di Cempaka Putih Jakpus,Jakarta,Cempaka Putih,68,36,1377000000,104,Kecil
Rumah murah strategis di jakarta selatan 9 menit dari pintu tol slipi,Jakarta,Grogol Utara,285,156,3800000000,441,Besar
Rumah kios dijual dijakarta pusat,Jakarta,Johar Baru,66,70,1150000000,136,Kecil
Bintaro Jaya Sektor 1 Jl Merak 182m� Nyaman,Jakarta,Bintaro,240,182,3100000000,422,Besar
Rumah Lux di Ragunan,Jakarta,Ragunan,700,1060,23000000000,1760,Besar
Jual Rumah Murah Di Jagakarsa Jakarta Selatan dekat Andara,Jakarta,Jagakarsa,120,61,1250000000,181,Sedang
DI Jual Rumah Komplek Pertamina,Jakarta,,600,699,20000000000,1299,Besar
Rumah 2Lantai Dp 4jutaan,Jakarta,,39,60,680000000,99,Kecil
Rumah Dijual Siap Huni di Pasar Rebo,Jakarta,,150,200,2000000000,350,Sedang
Dijual Cepat ! Rumah 3 BR kawasan Jakarta Timur - Kolam Renang,Jakarta,Rawamangun,200,529,18000000000,729,Besar
"Dijual Rumah Cluster Minimalist AYALIS RESIDENCE Menteng, Jakarta Pusat",Jakarta,Menteng,40,23,750000000,63,Kecil
Dijual cepat Rumah super mewah interkon..,Jakarta,Kembangan,2100,778,33000000000,2878,Besar
Rumah di kebon bawang tanjung priok jakarta utara,Jakarta,Tanjung Priok,250,172,4200000000,422,Besar
Rumah kost dijual dijakarta pusat,Jakarta,Menteng,170,57,1800000000,227,Besar
